"project_id","name","display_name","project_number","office_name","project_type_name","description","estimated_start_date","estimated_completion_date","project_start_date","projected_finish_date","last_wokring_update"
1121646,Chicago Botanic Garden Shade Evaluation and Shoreline Restoration,"1200091 - Chicago Botanic Garden Shade Evaluation and Shoreline Restoration","1200091","Bulley & Andrews, LLC",Recreational,"SHORELINE RESTORATION: Work includes the selective removal of existing, plantings, trees, and removal of existing soils along the shoreline, installation of sheet piling and sandbag coffer dams, dewatering of a portion of Prairie Lake, pond bottom removal and recontouring, installation of new shoreline stone berms, geoweb, benthic mesh, manufactured planting soil, related plantings, new boat ramp at Evening Island, all related SWPPP measures, storm utility work and bypass pumping station
SHADE EVALUATION GARDEN: Work includes the selective removal of existing, plantings, trees, service drive curbs and pavement, stripping and removal of existing soils adjacent to the service drive, installation of precise sloped subgrade and underdrain system, installation of manufactured soils to new grades, new service drive pavement and curbs, all related SWPPP measures,  irrigation main, branch lines and heads, trees, plantings, shrubs, steel edging, signage, brick pavers, pathways, pergolas, tree tunnels and arbors.",2020-01-16,2021-11-10,2020-01-16,2021-11-10,2024-03-19
1121649,DePaul South Building - Phase 5,"118241 - DePaul South Building - Phase 5","118241","Bulley & Andrews, LLC",Higher Ed,The scope entails the removal of the flat first floor and installing anew structural slab that will have tiered (movie theater style) raised seating and all new infrastructure. There will be a orchestra pit that elevates and lowers.,2018-12-07,2018-12-19,2019-11-01,2020-02-19,2024-08-06
1124393,Belden Stratford,"119209 - Belden Stratford","119209","Bulley & Andrews, LLC",Multi-Tenant,"Preconstruction services for the complete interior renovation including riser replacement, rooftop buildout, elevator extension, new exterior dropoffs and canopies and potential window replacement.",2020-08-01,2023-07-01,2020-08-01,2023-07-01,2024-08-06
1126687,"4K W. Diversey MEFP Infrastructure Project","1200117 - 4K W. Diversey MEFP Infrastructure Project","1200117","Bulley & Andrews, LLC",Commercial,"Mechanical, Electrical, Plumbing and Fire Protection upgrades to the base building. Installation of electrical feeds, new cooling tower, domestic, sanitary, vent and waste piping, relocation of fire protection mains, and demo of old MEFP equipment not needed anymore.",2020-08-24,2020-12-25,2020-08-24,2020-12-25,2024-03-19
1128711,"2626 N Lakeview Condominiums – Garage Restoration","119275x - 2626 N Lakeview Condominiums – Garage Restoration","119275x","Bulley & Andrews, LLC",Parking Facility,"concrete restoration in existing garage.  Scope includes MEPFP replacement, concrete repairs, and new traffic coating/waterproofing membranes.",2020-01-20,2020-11-13,2020-01-20,2020-11-13,2024-03-19
1129288,SAIC - 112 S. Michigan Ave,"4200030 - SAIC - 112 S. Michigan Ave","4200030","Bulley & Andrews Masonry Restoration, LLC",Higher Ed,,2020-06-26,2020-11-01,2020-06-26,2020-11-01,2024-03-19
1133837,Intrinsic Phase 2 & 3,"1200125 - Intrinsic Phase 2 & 3","1200125","Bulley & Andrews, LLC",K-12 School,"Interior Buildout for levels 2-3 & 5-5 of classroom, kitchen, multipurpose & fitness room space, along with an additional lab on",2020-03-27,2020-11-27,2020-03-16,2020-08-06,2024-03-19
1133845,Chiaravalle Montessori Summer Renovation 2020,"1200101 - Chiaravalle Montessori Summer Renovation 2020","1200101","Bulley & Andrews, LLC",K-12 School,"Renovation of existing school including full renovation of 1st floor, and finishes and mechanical systems for all four levels.",2020-03-15,2020-08-31,2020-03-15,2020-08-31,2024-03-19
1136614,"1800 W Roscoe","4200058 - 1800 W Roscoe","4200058","Bulley & Andrews Masonry Restoration, LLC",Residential,,2020-01-27,2020-12-31,2020-03-03,2020-12-31,2024-03-19
1138833,North Central College - Academic Building,DELETE MEx - North Central College - Academic Building,DELETE MEx,"Bulley & Andrews, LLC",Higher Ed,"4 story pre-cast academic building",2020-02-01,2021-02-28,2020-02-01,2021-02-28,2024-03-19
1138834,North Central College - Academic Building,DELETE MExx - North Central College - Academic Building,DELETE MExx,"Bulley & Andrews, LLC",Higher Ed,"4 story pre-cast academic building",2020-02-01,2021-02-28,2020-02-01,2021-02-28,2024-03-19
1138835,North Central College - Academic Building,DELETE MExxx - North Central College - Academic Building,DELETE MExxx,"Bulley & Andrews, LLC",Higher Ed,"4 story pre-cast academic building",2020-02-01,2021-02-28,2020-02-01,2021-02-28,2024-03-19
1139014,Delete,"3 - Delete","3","Bulley & Andrews, LLC",Higher Ed,,,,2020-01-30,,2024-03-19
1139016,Delete,"1 - Delete","1","Bulley & Andrews, LLC",Higher Ed,"New 4-story, 50,000 SF concrete structure that features a total of 24-units including 17 two bedroom, two bath-apartments of 1,350 SF each and 7, three bedroom, three bath-apartments of 1,600 SF each. The facility features a four-story brick and glass atrium, masonry exterior, and insulated casement windows. Underground parking is provided at the basement level.",,,2020-01-30,,2024-03-19
1139024,Delete,"8 - Delete","8","Bulley & Andrews, LLC",Higher Ed,,,,2020-01-30,,2024-03-19
1139025,Delete,"4 - Delete","4","Bulley & Andrews, LLC",Higher Ed,,,,2020-01-30,,2024-03-19
1139027,Delete,"12 - Delete","12","Bulley & Andrews Masonry Restoration, LLC",Higher Ed,,,,2020-01-30,,2024-03-19
1139031,Delete,"2 - Delete","2","Bulley & Andrews Masonry Restoration, LLC",Higher Ed,,,,2020-01-30,,2024-03-19
1139033,Delete,"10 - Delete","10","Bulley & Andrews Masonry Restoration, LLC",Higher Ed,,,,2020-01-30,,2024-03-19
1139037,Delete,"9 - Delete","9","Bulley & Andrews Masonry Restoration, LLC",Higher Ed,,,,2020-01-30,,2024-03-19
1139041,Delete,"5 - Delete","5","Bulley & Andrews Masonry Restoration, LLC",Higher Ed,,,,2020-01-30,,2024-03-19
1139048,Delete,"6 - Delete","6","Bulley & Andrews Masonry Restoration, LLC",Higher Ed,,,,2020-01-30,,2024-03-19
1139050,Delete,"11 - Delete","11","Bulley & Andrews Masonry Restoration, LLC",Higher Ed,,,,2020-01-30,,2024-03-19
1139053,Delete,"7 - Delete","7","Bulley & Andrews Masonry Restoration, LLC",Higher Ed,,,,2020-01-30,,2024-03-19
1139163,UIC NPI Building,"4200001 - UIC NPI Building","4200001","Bulley & Andrews Masonry Restoration, LLC",Higher Ed,,,,2020-01-30,,2024-03-19
1139423,North Central College - Academic Building,"1200094 - North Central College - Academic Building","1200094","Bulley & Andrews, LLC",Higher Ed,"4 story pre-cast academic building",2020-02-01,2021-02-28,2020-02-01,2021-02-28,2024-03-19
1140107,Chicago Children's Theatre,"4200073 - Chicago Children's Theatre","4200073","Bulley & Andrews Masonry Restoration, LLC",Warehouse,,,,2020-01-31,,2024-08-06
1143693,LU BVM Hall,"4200076 - LU BVM Hall","4200076","Bulley & Andrews Masonry Restoration, LLC",Higher Ed,,,,2020-02-04,,2024-03-19
1144016,BAMR test project,test - BAMR test project,test,"Bulley & Andrews Masonry Restoration, LLC",Higher Ed,,,,2020-02-04,,2024-08-06
1144737,BACR_Test Project,"520TEST - BACR_Test Project","520TEST","Bulley & Andrews Concrete Restoration, LLC",Plaza,Project for Training ,2020-03-02,2020-12-31,2020-03-02,2020-12-31,2024-08-06
1146707,Woodfield Mall Plaza,"5200025 - Woodfield Mall Plaza","5200025","Bulley & Andrews Concrete Restoration, LLC",Plaza,,,,2020-02-05,,2024-08-06
1147314,"3400 N Lake Shore Drive","5200035 - 3400 N Lake Shore Drive","5200035","Bulley & Andrews Concrete Restoration, LLC",Plaza,,2020-02-27,2020-02-27,2020-02-27,2020-02-27,2024-08-06
1149605,HIP (Harlem Irving Companies) 2020,"5200001 - HIP (Harlem Irving Companies) 2020","5200001","Bulley & Andrews Concrete Restoration, LLC",Plaza,,2020-01-02,2020-12-31,2020-01-02,2020-12-31,2024-08-06
1149672,Depaul School of Music Expansion Joint,"5200004 - Depaul School of Music Expansion Joint","5200004","Bulley & Andrews Concrete Restoration, LLC",Higher Ed,Expansion Joint Replacement,2020-01-02,2020-02-04,2020-01-02,2020-02-04,2024-03-19
1149704,Purdue_Northwestern Parking Garage North Side Repairs - 2019,"5200007 - Purdue_Northwestern Parking Garage North Side Repairs - 2019","5200007","Bulley & Andrews Concrete Restoration, LLC",Parking Facility,,2020-05-18,,2020-05-18,,2024-08-06
1149794,"300 S Riverside Emergency Knock Down Time and Material","5200008 - 300 S Riverside Emergency Knock Down Time and Material","5200008","Bulley & Andrews Concrete Restoration, LLC",Plaza,,2020-01-06,2020-01-13,2020-01-06,2020-01-13,2024-03-19
1149813,Racquet Club of Chicago,"5200012 - Racquet Club of Chicago","5200012","Bulley & Andrews Concrete Restoration, LLC",Recreational,,,,2020-02-07,,2024-03-19
1149831,"919 N. Michigan Avenue Planter Renovation","5200013 - 919 N. Michigan Avenue Planter Renovation","5200013","Bulley & Andrews Concrete Restoration, LLC",Plaza,,2020-04-20,2020-05-29,2020-04-28,2020-05-29,2024-08-06
1149850,The Breakers 2020 Post Tension Beam Repairs,"5200015 - The Breakers 2020 Post Tension Beam Repairs","5200015","Bulley & Andrews Concrete Restoration, LLC",Parking Facility,,2020-02-06,,2020-02-06,,2024-08-06
1149879,New Post Office Plenum Removal,"5200018 - New Post Office Plenum Removal","5200018","Bulley & Andrews Concrete Restoration, LLC",Commercial,,,,2020-02-07,,2024-08-06
1149913,Harper College_Pedestrian Bridge Shoring,"5200023 - Harper College_Pedestrian Bridge Shoring","5200023","Bulley & Andrews Concrete Restoration, LLC",Higher Ed,,,,2020-02-07,,2024-08-06
1150676,IIT Basement Waterproofing and Epoxy Injection,"5200031 - IIT Basement Waterproofing and Epoxy Injection","5200031","Bulley & Andrews Concrete Restoration, LLC",Commercial,Epoxy Injection,2020-02-12,2020-02-14,2020-02-12,2020-02-14,2024-08-06
1150739,"10 S. Riverside and 120 S. Riverside Passenger Platform Rental","5200033 - 10 S. Riverside and 120 S. Riverside Passenger Platform Rental","5200033","Bulley & Andrews Concrete Restoration, LLC",Historical Restoration,,2021-08-01,2021-08-28,2021-08-01,2021-08-28,2024-08-06
1150779,Oshkosh City Center 2020 Concrete and Waterproofing Repairs,"5200037 - Oshkosh City Center 2020 Concrete and Waterproofing Repairs","5200037","Bulley & Andrews Concrete Restoration, LLC",Parking Facility,,2020-04-01,,2020-04-01,,2024-08-06
1151634,"1245 N State Street_Remodeling Study","5200002 - 1245 N State Street_Remodeling Study","5200002","Bulley & Andrews Concrete Restoration, LLC",Residential,Bid for B&A Residential,,,2020-02-10,,2024-08-06
1151643,Virginia Avenue Parking Garage_Repairs,"5200003 - Virginia Avenue Parking Garage_Repairs","5200003","Bulley & Andrews Concrete Restoration, LLC",Parking Facility,,,,2020-02-10,,2024-08-06
1151687,Princeton Access Improvements - GRF (CO to Job#519082),"5200005 - Princeton Access Improvements - GRF (CO to Job#519082)","5200005","Bulley & Andrews Concrete Restoration, LLC",Performance Space,Guaranteed Rate Field - This Project will be a change order to 519082.,,,2020-02-10,,2024-03-19
1151700,Dixon Armory_Exploratory / Budget,"5200006 - Dixon Armory_Exploratory / Budget","5200006","Bulley & Andrews Concrete Restoration, LLC",Municipal,Concrete Building_Federal Bid,,,2020-02-10,,2024-08-06
1151711,Malibu East Condominium_Ground Floor Improvements,"5200009 - Malibu East Condominium_Ground Floor Improvements","5200009","Bulley & Andrews Concrete Restoration, LLC",Plaza,,,,2020-02-10,,2024-08-06
1151739,"1603 Orrington Ave","5200010 - 1603 Orrington Ave","5200010","Bulley & Andrews Concrete Restoration, LLC",Plaza,B&A Bid,,,2020-02-10,,2024-08-06
1151752,ITB Lyric Opera House_Seat Replacement,"5200011 - ITB Lyric Opera House_Seat Replacement","5200011","Bulley & Andrews Concrete Restoration, LLC",Performance Space,,,,2020-02-10,,2024-08-06
1151892,Hilton (Boston)_Emergency Shoring,"5200014 - Hilton (Boston)_Emergency Shoring","5200014","Bulley & Andrews Concrete Restoration, LLC",Hospitality,,,,2020-02-10,,2024-08-06
1151905,Adlai E. Steveson High School Summer 2020 Improvements,"5200016 - Adlai E. Steveson High School Summer 2020 Improvements","5200016","Bulley & Andrews Concrete Restoration, LLC",K-12 School,,,,2020-02-10,,2024-08-06
1151917,"500 Davis Street_Repaving","5200017 - 500 Davis Street_Repaving","5200017","Bulley & Andrews Concrete Restoration, LLC",Commercial,,,,2020-02-10,,2024-08-06
1151925,Chicago Union Station,"5200019 - Chicago Union Station","5200019","Bulley & Andrews Concrete Restoration, LLC",Commercial,,,,2020-02-10,,2024-08-06
1154445,"1100 W Fulton","419048 - 1100 W Fulton","419048","Bulley & Andrews Masonry Restoration, LLC",Mixed-Use Space,,,,2020-02-12,,2024-03-19
1154451,"318 S Michigan","419047 - 318 S Michigan","419047","Bulley & Andrews Masonry Restoration, LLC",Residential,,,,2020-02-12,,2024-03-19
1154950,Monadnock (fire escape repairs),"4200026 - Monadnock (fire escape repairs)","4200026","Bulley & Andrews Masonry Restoration, LLC",Mixed-Use Space,,2020-02-10,2020-02-18,2020-02-10,2020-02-18,2024-03-19
1156178,Joffrey Tower Vaulted Sidewalk Restoration,"5200045 - Joffrey Tower Vaulted Sidewalk Restoration","5200045","Bulley & Andrews Concrete Restoration, LLC",Commercial,,2021-05-03,2021-10-29,2021-05-03,2021-10-29,2024-08-06
1156473,Golder College Prep,"5200020 - Golder College Prep","5200020","Bulley & Andrews Concrete Restoration, LLC",K-12 School,,,,2020-02-13,,2024-08-06
1156560,YMCA Metropolitan of Chicago,"4200002 - YMCA Metropolitan of Chicago","4200002","Bulley & Andrews Masonry Restoration, LLC",Recreational,,,,2020-02-13,,2024-03-19
1156780,Residences at Village Centre - Mt. Prospect,"5200021 - Residences at Village Centre - Mt. Prospect","5200021","Bulley & Andrews Concrete Restoration, LLC",Residential,Multi Building - Residences,,,2020-02-13,,2024-08-06
1156808,"One Oakbrook Terrace, Garage Loose Concrete Knock-Down","5200022 - One Oakbrook Terrace, Garage Loose Concrete Knock-Down","5200022","Bulley & Andrews Concrete Restoration, LLC",Parking Facility,,,,2020-02-13,,2024-08-06
1157023,"300 E Superior_Northwestern Hospital","5200024 - 300 E Superior_Northwestern Hospital","5200024","Bulley & Andrews Concrete Restoration, LLC",Healthcare,,,,2020-02-13,,2024-08-06
1158096,McCormick Mansion,"4200104 - McCormick Mansion","4200104","Bulley & Andrews Masonry Restoration, LLC",Historical Restoration,,,,2020-02-14,,2024-08-06
1158407,UC Maintenance,"4200095 - UC Maintenance","4200095","Bulley & Andrews Masonry Restoration, LLC",Higher Ed,,,,2020-02-14,,2024-03-19
1159091,"300 East Ohio - Double Tree Chicago-Mag Mile","5200026 - 300 East Ohio - Double Tree Chicago-Mag Mile","5200026","Bulley & Andrews Concrete Restoration, LLC",Hospitality,,,,2020-02-14,,2024-08-06
1159118,"828 S Wabash","5200027 - 828 S Wabash","5200027","Bulley & Andrews Concrete Restoration, LLC",Higher Ed,,,,2020-02-14,,2024-08-06
1159133,Indianapolis - Market District Parking Garage 2020,"5200028 - Indianapolis - Market District Parking Garage 2020","5200028","Bulley & Andrews Concrete Restoration, LLC",Parking Facility,,,,2020-02-14,,2024-08-06
1159149,IU PU Indianapolis- Multi Garage Surfaces & Cable Repairs,"5200029 - IU PU Indianapolis- Multi Garage Surfaces & Cable Repairs","5200029","Bulley & Andrews Concrete Restoration, LLC",Parking Facility,,,,2020-02-14,,2024-08-06
1159157,Sienna Court Condo - Vehicular Ramp Renovation,"5200030 - Sienna Court Condo - Vehicular Ramp Renovation","5200030","Bulley & Andrews Concrete Restoration, LLC",Parking Facility,,,,2020-02-14,,2024-08-06
1159168,Purdue University_Tunnel Repair and Waterproofing - 2020,"5200032 - Purdue University_Tunnel Repair and Waterproofing - 2020","5200032","Bulley & Andrews Concrete Restoration, LLC",Higher Ed,,,,2020-02-14,,2024-08-06
1159220,Waukegan Water Filtration,"5200034 - Waukegan Water Filtration","5200034","Bulley & Andrews Concrete Restoration, LLC",Municipal,,,,2020-02-14,,2024-08-06
1159223,HIP Escalator #1 Infill Expansion Joint,"5200036 - HIP Escalator #1 Infill Expansion Joint","5200036","Bulley & Andrews Concrete Restoration, LLC",Commercial,,,,2020-02-14,,2024-08-06
1159231,Hollywood Casino Precast Panel Repair,"5200038 - Hollywood Casino Precast Panel Repair","5200038","Bulley & Andrews Concrete Restoration, LLC",Hospitality,,,,2020-02-14,,2024-08-06
1159242,Capital One - Detroit,"5200039 - Capital One - Detroit","5200039","Bulley & Andrews Concrete Restoration, LLC",Financial,,,,2020-02-14,,2024-08-06
1159246,OPP Parking Garage_Repair and Preventive Maintenance,"5200040 - OPP Parking Garage_Repair and Preventive Maintenance","5200040","Bulley & Andrews Concrete Restoration, LLC",Parking Facility,,,,2020-02-14,,2024-08-06
1159254,Hyatt Lodge - Oakbrook_Ceiling Injection,"5200041 - Hyatt Lodge - Oakbrook_Ceiling Injection","5200041","Bulley & Andrews Concrete Restoration, LLC",Hospitality,,,,2020-02-14,,2024-08-06
1159275,Walker (Budget),"5200042 - Walker (Budget)","5200042","Bulley & Andrews Concrete Restoration, LLC",Parking Facility,,,,2020-02-14,,2024-08-06
1159284,Purdue_Tarkington Hall Brine Tank Rehabilitation - 2020,"5200043 - Purdue_Tarkington Hall Brine Tank Rehabilitation - 2020","5200043","Bulley & Andrews Concrete Restoration, LLC",Higher Ed,,,,2020-02-14,,2024-08-06
1159290,Glenview Public Library Parking Garage,"5200076 - Glenview Public Library Parking Garage","5200076","Bulley & Andrews Concrete Restoration, LLC",Parking Facility,,,,2020-02-14,,2024-08-06
1161263,NU Technological Institute (Budget),"4200078 - NU Technological Institute (Budget)","4200078","Bulley & Andrews Masonry Restoration, LLC",Higher Ed,,,,2020-02-17,,2024-08-06
1162801,Executive Towers Parking Structures 2020 Repairs,"5200044 - Executive Towers Parking Structures 2020 Repairs","5200044","Bulley & Andrews Concrete Restoration, LLC",Parking Facility,,,,2020-02-18,,2024-08-06
1163555,City of Bloomington Police Parking Garage,"5200046 - City of Bloomington Police Parking Garage","5200046","Bulley & Andrews Concrete Restoration, LLC",Parking Facility,,,,2020-02-18,,2024-08-06
1163720,"300 E Superior Street Lurie Cage Wash Renovation","5200047 - 300 E Superior Street Lurie Cage Wash Renovation","5200047","Bulley & Andrews Concrete Restoration, LLC",Healthcare,,,,2020-02-18,,2024-08-06
1163725,"25 East Washington_Pipe Penetration Leaks","5200048 - 25 East Washington_Pipe Penetration Leaks","5200048","Bulley & Andrews Concrete Restoration, LLC",Mixed-Use Space,,,,2020-02-18,,2024-08-06
1163747,Audi Exchange Dealership Project,"5200049 - Audi Exchange Dealership Project","5200049","Bulley & Andrews Concrete Restoration, LLC",Retail,,,,2020-02-18,,2024-08-06
1163753,"203 North LaSalle Parking Garage","5200050 - 203 North LaSalle Parking Garage","5200050","Bulley & Andrews Concrete Restoration, LLC",Parking Facility,,,,2020-02-18,,2024-08-06
1163765,"600 S Michigan","4200109 - 600 S Michigan","4200109","Bulley & Andrews Masonry Restoration, LLC",Higher Ed,Roof Anchors,,,2020-02-18,,2024-08-06
1163768,Adams and Wabash Parking Garage,"5200051 - Adams and Wabash Parking Garage","5200051","Bulley & Andrews Concrete Restoration, LLC",Parking Facility,,,,2020-02-18,,2024-08-06
1163778,"1250 N. Dearborn Condos","5200052 - 1250 N. Dearborn Condos","5200052","Bulley & Andrews Concrete Restoration, LLC",Multi-Tenant,,,,2020-02-18,,2024-08-06
1163793,Liberty Square Condos,"5200053 - Liberty Square Condos","5200053","Bulley & Andrews Concrete Restoration, LLC",Multi-Tenant,,,,2020-02-18,,2024-08-06
1163798,Waukegan Water Filtration Plant Eurethane Injection (Duplicate Job Name and Number) Refer to 5200034,"5200054 - Waukegan Water Filtration Plant Eurethane Injection (Duplicate Job Name and Number) Refer to 5200034","5200054","Bulley & Andrews Concrete Restoration, LLC",Municipal,,,,2020-02-18,,2024-03-19
1163808,Amhurst Lofts Vaulted Terrace Repairs,"5200055 - Amhurst Lofts Vaulted Terrace Repairs","5200055","Bulley & Andrews Concrete Restoration, LLC",Multi-Tenant,,,,2020-02-18,,2024-08-06
1163812,Harper College_Parking Garage Repairs,"5200056 - Harper College_Parking Garage Repairs","5200056","Bulley & Andrews Concrete Restoration, LLC",Parking Facility,,,,2020-02-18,,2024-08-06
1163817,BACR_C-19 Tracking (Delete),"520_C-19 - BACR_C-19 Tracking (Delete)","520_C-19","Bulley & Andrews Concrete Restoration, LLC",Mixed-Use Space,Tracking C-19 Documents for BACR,2020-04-28,2020-04-28,2020-04-01,2020-04-28,2024-03-19
1164102,"425 E. Erie","4200043 - 425 E. Erie","4200043","Bulley & Andrews Masonry Restoration, LLC",Healthcare,Roof Anchors,2020-03-02,2020-03-06,2020-03-02,2020-03-06,2024-03-19
1164246,LU Lewis Tower (phase 2 repairs),"4200390 - LU Lewis Tower (phase 2 repairs)","4200390","Bulley & Andrews Masonry Restoration, LLC",Higher Ed,,,,2020-02-18,,2024-03-19
1164253,"1603 Orrington","4200022 - 1603 Orrington","4200022","Bulley & Andrews Masonry Restoration, LLC",Office,,,,2020-02-18,,2024-08-06
1164261,Olympia Fields Country Club,"4200003 - Olympia Fields Country Club","4200003","Bulley & Andrews Masonry Restoration, LLC",Clubs,,,,2020-02-18,,2024-03-19
1164266,"730 S. Clark","4200023 - 730 S. Clark","4200023","Bulley & Andrews Masonry Restoration, LLC",Multi-Tenant,,,,2020-02-18,,2024-03-19
1164272,Groves of Palatine,"4200027 - Groves of Palatine","4200027","Bulley & Andrews Masonry Restoration, LLC",Residential,,2020-01-01,2020-12-31,2019-12-16,2020-10-09,2024-03-19
1164281,"2626 N. Lakeview","4200031 - 2626 N. Lakeview","4200031","Bulley & Andrews Masonry Restoration, LLC",Commercial,,,,2020-02-18,,2024-03-19
1164288,VA Indy and Madison (inspection),"4200032 - VA Indy and Madison (inspection)","4200032","Bulley & Andrews Masonry Restoration, LLC",Commercial,,,,2020-02-18,,2024-03-19
1164304,TBC @ IIT,"4200033 - TBC @ IIT","4200033","Bulley & Andrews Masonry Restoration, LLC",Higher Ed,,,,2020-02-18,,2024-03-19
1164310,"209 E Lake Shore Dr. (west leak)","4200037 - 209 E Lake Shore Dr. (west leak)","4200037","Bulley & Andrews Masonry Restoration, LLC",Residential,,2020-04-01,2020-04-24,2020-04-01,2020-04-24,2024-03-19
1164318,Union Station Hotel Nashville,"4200040 - Union Station Hotel Nashville","4200040","Bulley & Andrews Masonry Restoration, LLC",Municipal,,,,2020-02-18,,2024-03-19
1164324,"1769 & 1819 W. Pershing (inspection)","4200041 - 1769 & 1819 W. Pershing (inspection)","4200041","Bulley & Andrews Masonry Restoration, LLC",Residential,,2020-01-01,2020-12-31,2020-01-01,2020-12-31,2024-03-19
1164331,Acero - Sor Juana Inés de la Cruz,"4200046 - Acero - Sor Juana Inés de la Cruz","4200046","Bulley & Andrews Masonry Restoration, LLC",K-12 School,,2022-07-01,2022-07-01,2022-07-01,2022-07-01,2024-03-19
1164348,RCC Court #1,"4200047 - RCC Court #1","4200047","Bulley & Andrews Masonry Restoration, LLC",Commercial,,,,2020-02-18,,2024-03-19
1164355,VU Mueller Hall,"4200054 - VU Mueller Hall","4200054","Bulley & Andrews Masonry Restoration, LLC",Higher Ed,,2020-01-01,2020-12-31,2020-01-01,2020-12-31,2024-03-19
1164363,Sacred Heart,"4200061 - Sacred Heart","4200061","Bulley & Andrews Masonry Restoration, LLC",Historical Restoration,,,,2020-02-18,,2024-03-19
1164366,Yard - CMU Wall for BACR,"4200065 - Yard - CMU Wall for BACR","4200065","Bulley & Andrews Masonry Restoration, LLC",Industrial,,,,2020-02-18,,2024-03-19
1164368,Ingalls Memorial Hospital (North Building),"4200072 - Ingalls Memorial Hospital (North Building)","4200072","Bulley & Andrews Masonry Restoration, LLC",Healthcare,,,,2020-02-18,,2024-03-19
1164374,UC Goodspeed / Classics / Weibolt,"4200098 - UC Goodspeed / Classics / Weibolt","4200098","Bulley & Andrews Masonry Restoration, LLC",Higher Ed,,2020-06-15,2020-09-11,2020-06-15,2020-09-11,2024-03-19
1165039,Procore Training,"12345 - Procore Training","12345","Bulley & Andrews Masonry Restoration, LLC",Commercial,,2020-02-01,,2020-02-01,,2024-08-06
1165916,SoNo Condos,"4200106 - SoNo Condos","4200106","Bulley & Andrews Masonry Restoration, LLC",Multi-Tenant,,,,2020-02-19,,2024-08-06
1166290,NU Cahn Auditorium,"4200004 - NU Cahn Auditorium","4200004","Bulley & Andrews Masonry Restoration, LLC",Mixed-Use Space,,,,2020-02-19,,2024-08-06
1166334,"2020 Structural Rehabilitation_Thorn Creek Basin Sanitary Disctrict","5200058 - 2020 Structural Rehabilitation_Thorn Creek Basin Sanitary Disctrict","5200058","Bulley & Andrews Concrete Restoration, LLC",Municipal,,,,2020-02-19,,2024-08-06
1167040,Test Project Part 2,"12345 - Test Project Part 2","12345","Bulley & Andrews Masonry Restoration, LLC",Commercial,,2020-02-01,,2020-02-01,,2024-03-19
1167160,"701 West Jackson Lofts","4200005 - 701 West Jackson Lofts","4200005","Bulley & Andrews Masonry Restoration, LLC",Multi-Tenant,,,,2020-02-20,,2024-08-06
1167161,Holy Angels Gary,"4200006 - Holy Angels Gary","4200006","Bulley & Andrews Masonry Restoration, LLC",Sacred / Religious Space,,,,2020-02-20,,2024-08-06
1167167,"411 S Sangamon","4200007 - 411 S Sangamon","4200007","Bulley & Andrews Masonry Restoration, LLC",Residential,,,,2020-02-20,,2024-03-19
1167187,Adler Planetarium,"4200008 - Adler Planetarium","4200008","Bulley & Andrews Masonry Restoration, LLC",Museum,,,,2020-02-20,,2024-08-06
1167191,"150 N Clinton","4200009 - 150 N Clinton","4200009","Bulley & Andrews Masonry Restoration, LLC",Office,,,,2020-02-20,,2024-08-06
1167200,WJE CMU Test Walls,"4200010 - WJE CMU Test Walls","4200010","Bulley & Andrews Masonry Restoration, LLC",Warehouse,,,,2020-02-20,,2024-08-06
