"client_name","contractor_name","DateUpdated","work_type","total_payments","status","signed_contract_received_date","project_id"
"120 S RIVERSIDE PROPERTY OWNER LLC",B & A CONCRETE RESTORATION LLC,2022-09-15 09:06:00.206,"120 S. Riverside platform rental",268750.00,Approved,,1150739
CITY CENTER ASSOCIATES LLC,B & A CONCRETE RESTORATION LLC,2022-08-02 21:31:34.776,Concrete and Waterproofing Repairs ,0.00,Approved,,1150779
AMTRAK,B & A CONCRETE RESTORATION LLC,2022-09-15 09:07:28.833,Materials and Labor following May 2020 Floods at CUS,0.00,Approved,,1151925
AMTRAK,B & A CONCRETE RESTORATION LLC,2022-09-15 09:07:28.833,Emergency Hammer Sounding Project - 2N Riverside Track-19,0.00,Approved,,1151925
AMTRAK,B & A CONCRETE RESTORATION LLC,2022-09-15 09:07:28.833,Emergency Hammer Sounding Project - CDOT Canal Street Track-2 Post 27-28,0.00,Approved,,1151925
"1100 WEST FULTON LLC",B & A MASONRY RESTORATION LLC,2022-08-02 21:32:37.960,Masonry repairs,1354863.00,Approved,,1154445
THE MONTAUK CO,B & A MASONRY RESTORATION LLC,2022-08-02 21:33:02.520,Fire escape repairs,16000.00,Approved,,1154950
SUDLER PROPERTY MANAGEMENT,B & A CONCRETE RESTORATION LLC,2024-03-31 08:32:52.940,Sidewalk Restoration,1183540.88,Approved,,1156178
YMCA OF METROPOLITAN CHICAGO,B & A MASONRY RESTORATION LLC,2022-08-02 21:33:38.450,Masonry repairs,0.00,Approved,,1156560
THE UNIVERSITY OF CHICAGO,B & A MASONRY RESTORATION LLC,2024-01-20 10:37:37.746,Crerar Library - 36 East entrance pavers,39500.00,Approved,,1158407
THE UNIVERSITY OF CHICAGO,B & A MASONRY RESTORATION LLC,2024-01-20 10:37:37.746,GHJ Concrete Sidewalk and Curb,7500.00,Approved,,1158407
THE UNIVERSITY OF CHICAGO,B & A MASONRY RESTORATION LLC,2024-01-20 10:37:37.746,GHJ Garbage Container Area,4856.00,Approved,,1158407
NORTHWESTERN MEDICINE,B & A MASONRY RESTORATION LLC,2022-08-02 21:35:22.513,Masonry repairs,29058.00,Approved,,1164102
LOYOLA UNIVERSITY CHICAGO,B & A MASONRY RESTORATION LLC,2022-08-02 21:35:30.566,Masonry Restoration,596000.00,Complete,2020-03-13,1164246
"WISS, JANNEY, ELSTNER ASSOCIATES INC",B & A MASONRY RESTORATION LLC,2022-08-02 21:35:40.470,Masonry repairs,11987.05,Approved,,1164261
FIRSTSERVICE RESIDENTIAL,B & A MASONRY RESTORATION LLC,2022-08-02 21:35:47.850,Dog run EMSEAL joint,1670.00,Approved,2020-08-18,1164266
FIRSTSERVICE RESIDENTIAL,B & A MASONRY RESTORATION LLC,2022-08-02 21:35:47.850,Masonry repairs,42973.00,Approved,,1164266
GROVES OF PALATINE,B & A MASONRY RESTORATION LLC,2024-03-31 08:33:18.160,Masonry repairs,3344052.08,Approved,2020-02-04,1164272
"2626 LAKEVIEW CONDOMINIUM ASSOCIATION",B & A MASONRY RESTORATION LLC,2023-10-06 08:57:09.290,Masonry Repairs,7047.00,Approved,,1164281
COMMANDER'S CONCEPT COMMISSIONING,B & A MASONRY RESTORATION LLC,2022-08-02 21:37:01.540,Indianapolis Inspection,0.00,Approved,,1164288
COMMANDER'S CONCEPT COMMISSIONING,B & A MASONRY RESTORATION LLC,2022-08-02 21:37:01.540,Madison Inspection,0.00,Approved,,1164288
CUSHMAN & WAKEFIELD,B & A MASONRY RESTORATION LLC,2022-09-07 09:08:25.380,Remainder of South Facade,253000.00,Approved,,1164304
"209 E LAKE SHORE DR CONDOMINIUM CORP",B & A MASONRY RESTORATION LLC,2022-08-02 21:37:16.900,West Leak,0.00,Approved,,1164310
AJAX CONSULTING SERVICES LLC,B & A MASONRY RESTORATION LLC,2022-08-02 21:37:21.503,Masonry repairs,0.00,Approved,,1164318
VALPARAISO UNIVERSITY,B & A MASONRY RESTORATION LLC,2022-08-02 21:37:31.136,Inspection assistance (PO P0207975),6000.00,Approved,,1164355
SACRED HEART SCHOOLS,,2022-08-02 21:37:39.423,Masonry repairs,168937.00,Approved,,1164363
BULLEY & ANDREWS LLC,B & A MASONRY RESTORATION LLC,2023-01-31 09:28:39.493,CMU wall repair for BACR,103067.45,Approved,,1164366
THE UNIVERSITY OF CHICAGO,B & A MASONRY RESTORATION LLC,2022-08-02 21:38:02.393,Masonry repairs,1780704.00,Approved,,1164374
SANGAMON LOFTS CONDOMINIUM ASSOCIATION,B & A MASONRY RESTORATION LLC,2022-08-02 21:38:25.536,Masonry repairs,1230271.16,Approved,2020-06-26,1167167
ST CHRYSOSTOM'S EPISCOPAL CHURCH,B & A MASONRY RESTORATION LLC,2022-08-02 21:38:45.226,Masonry repairs,306961.00,Approved,2020-06-19,1167210
SECOND PRESBYTERIAN CHURCH,B & A MASONRY RESTORATION LLC,2022-08-02 21:39:06.643,Masonry Repairs,0.00,Approved,,1167260
URBAN ELEVATOR SERVICE,B & A MASONRY RESTORATION LLC,2022-08-02 21:39:17.863,Masonry Repairs,0.00,Approved,,1167592
CITY OF CHICAGO,B & A MASONRY RESTORATION LLC,2022-09-15 09:08:27.146,Masonry repairs,365500.00,Approved,2020-07-09,1167619
LEOPARDO COMPANIES INC,B & A MASONRY RESTORATION LLC,2022-09-15 09:08:27.146,Masonry repairs,0.00,Approved,,1167619
CITY OF CHICAGO,B & A MASONRY RESTORATION LLC,2022-09-15 09:08:27.146,Masonry repairs,0.00,Approved,,1167619
NOBLE NETWORK OF CHARTER SCHOOLS,B & A MASONRY RESTORATION LLC,2022-08-02 21:39:54.100,Golder College Prep ,67978.68,Complete,,1167667
BULLEY & ANDREWS LLC,B & A MASONRY RESTORATION LLC,2022-09-07 09:08:41.203,Floor Scanning & 2D dimensioning,3500.00,Approved,,1168119
ASBUILT MEASURED DRAWINGS INC,B & A MASONRY RESTORATION LLC,2022-09-07 09:08:41.203,PX90 rental,900.00,Approved,,1168119
GREAT LAKES ACADEMY CHARTER SCHOOL,B & A MASONRY RESTORATION LLC,2022-08-02 21:40:38.273,Masonry inspection,12935.00,Approved,,1168381
TAWANI PROPERTY MANAGEMENT,B & A MASONRY RESTORATION LLC,2022-09-07 09:09:27.480,Terra cotta replacement,135041.30,Approved,,1168841
DWIGHT LOFTS LLC,B & A MASONRY RESTORATION LLC,2022-08-02 21:41:06.023,Facade inspection,0.00,Approved,,1168856
"200 NORTH DEARBORN CONDOMINIUM ASSOCIATION",B & A MASONRY RESTORATION LLC,2022-08-02 21:41:15.210,Pedway repairs,404345.00,Approved,2020-09-22,1168908
"1250 N DEARBORN CONDO ASSOC",B & A MASONRY RESTORATION LLC,2022-08-02 21:41:50.476,Masonry repairs,372608.66,Approved,2020-05-11,1169175
CHICAGO GOLF CLUB,B & A MASONRY RESTORATION LLC,2024-03-31 08:34:10.456,Masonry repairs,231317.00,Approved,,1169209
SUN LIFE ASSURANCE CO,B & A MASONRY RESTORATION LLC,2022-09-07 09:10:25.930,Masonry repairs,1051905.95,Approved,,1169212
VALPARAISO UNIVERSITY,B & A MASONRY RESTORATION LLC,2022-08-02 21:42:45.410,Masonry repairs,0.00,Approved,,1169217
VALPARAISO UNIVERSITY,B & A MASONRY RESTORATION LLC,2022-08-02 21:42:50.283,Masonry repairs,0.00,Approved,,1169220
GOETHE-ASTER INC,B & A MASONRY RESTORATION LLC,2022-08-02 21:42:56.543,Inspection,58744.85,Approved,2020-11-03,1169234
"161 CHICAGO AVE EAST CONDO ASSOC",B & A MASONRY RESTORATION LLC,2022-08-02 21:43:10.280,Masonry repairs,103066.00,Approved,,1169276
"161 CHICAGO AVE EAST CONDO ASSOC",B & A MASONRY RESTORATION LLC,2022-08-02 21:43:10.280,PO #6217: 2402 window sealant,9300.00,Approved,,1169276
THE UNIVERSITY OF CHICAGO,B & A MASONRY RESTORATION LLC,2022-08-02 21:43:47.030,Masonry repairs,0.00,Approved,,1169829
JOFFREY TOWER CONDOMINIUM ASSOCIATION,B & A CONCRETE RESTORATION LLC,2024-03-31 08:34:37.396,Masonry Restoration,54853.00,Approved,,1170789
KELLERMEYER GODFRYT HART,B & A MASONRY RESTORATION LLC,2024-03-31 08:34:37.396,Haberdasher Drone,750.00,Approved,,1170789
BULLEY & ANDREWS LLC,B & A MASONRY RESTORATION LLC,2022-09-15 09:09:12.780,cthomas Prime Contract,0.00,Approved,,1170871
,,2022-09-15 09:09:12.780,cthomas Prime Contract,0.00,Approved,,1170871
BULLEY & ANDREWS LLC,B & A MASONRY RESTORATION LLC,2022-08-02 21:44:40.556,jlabuz Prime Contract,0.00,Draft,,1171223
ST JOSEPH COUNTY PUBLIC LIBRARY,BULLEY & ANDREWS LLC,2023-10-21 09:03:06.393,St. Joseph County Public Library - Main Library Renovation & Addition Prime Contract,1762239.00,Approved,,1172268
Owner TEST Company,B & A MASONRY RESTORATION LLC,2022-08-02 21:44:58.173,St. Chrysostom's Phase 3,0.00,Approved,2020-05-29,1172495
ARSEE ENGINEERS INC,B & A MASONRY RESTORATION LLC,2022-08-02 21:45:07.843,Wall Repairs,0.00,Out For Signature,,1172561
Owner TEST Company,B & A MASONRY RESTORATION LLC,2022-08-02 21:45:07.843,Wall repairs,0.00,Complete,,1172561
Owner TEST Company,B & A MASONRY RESTORATION LLC,2022-08-02 21:45:07.843,Prime Contract,0.00,Out For Signature,,1172561
BULLEY & ANDREWS LLC,B & A MASONRY RESTORATION LLC,2022-08-02 21:45:18.530,Facade bracing drawings,5300.00,Approved,2020-03-12,1172641
THE UNIVERSITY OF CHICAGO,B & A MASONRY RESTORATION LLC,2022-08-02 21:45:28.590,Masonry repairs,0.00,Approved,,1172658
STERLING BAY,B & A MASONRY RESTORATION LLC,2024-03-31 08:35:18.763,Masonry repairs,1967805.00,Approved,2019-05-03,1172746
STERLING BAY,B & A MASONRY RESTORATION LLC,2024-03-31 08:35:18.763,East elevation sealant replacement,26425.00,Approved,,1172746
"1448 LAKE SHORE DRIVE BUILDING CORP",B & A MASONRY RESTORATION LLC,2022-08-02 21:46:31.323,jtaylor  Prime Contract,0.00,Draft,,1172861
Owner TEST Company,B & A MASONRY RESTORATION LLC,2021-12-08 18:03:48.643,ryester Prime Contract,0.00,Draft,,1173229
Owner TEST Company,B & A MASONRY RESTORATION LLC,2021-12-08 18:03:48.643,Facade Repairs 2020 Prime Contract,0.00,Draft,,1173229
HYATT LODGE,B & A MASONRY RESTORATION LLC,2022-08-02 21:46:39.123,Chimney repairs,56950.00,Approved,,1173519
UNIVERSITY CLUB OF CHICAGO,B & A MASONRY RESTORATION LLC,2022-08-02 21:46:58.090,"2020 Exterior Wall Repairs",0.00,Approved,,1174013
ALLAN ETTINGER,B & A MASONRY RESTORATION LLC,2022-08-02 21:47:09.440,Masonry repairs,108000.00,Approved,,1174653
FIRST SERVICE RESIDENTIAL,B & A MASONRY RESTORATION LLC,2022-08-02 21:47:16.010,Facade inspection and repairs,145250.00,Approved,2020-05-28,1175015
FIRST SERVICE RESIDENTIAL,B & A MASONRY RESTORATION LLC,2022-08-02 21:47:16.010,Roof anchor inspection,1500.00,Approved,,1175015
B & A CONCRETE RESTORATION LLC,B & A MASONRY RESTORATION LLC,2022-08-02 21:47:49.706,cvins Prime Contract,0.00,Draft,,1177594
GLENBARD WASTEWATER AUTHORITY,B & A CONCRETE RESTORATION LLC,2022-08-02 21:47:54.776,Epoxy Injection,0.00,Approved,,1177765
FIRST SERVICE RESIDENTIAL,B & A MASONRY RESTORATION LLC,2022-08-02 21:48:12.910,Concrete repairs,671373.50,Approved,2019-07-11,1180913
FIRST SERVICE RESIDENTIAL,B & A MASONRY RESTORATION LLC,2022-08-02 21:48:12.910,Planter box repairs,2880.00,Approved,,1180913
METROPOLITAN OF SKOKIE CONDOMINIUM ASSOCIATION,B & A MASONRY RESTORATION LLC,2022-08-02 21:48:44.340,"2019 Miscellaneous Repairs",68177.00,Approved,,1180977
KENMORE PLAZA TENANTS ASSOCIATION,B & A MASONRY RESTORATION LLC,2022-08-02 21:48:54.093,Masonry Restoration,819431.00,Approved,,1180985
BOF IL ONE NORTH LASALLE LLC,B & A MASONRY RESTORATION LLC,2022-08-02 21:49:19.410,Masonry Repairs,162618.65,Approved,,1183529
Owner TEST Company,B & A MASONRY RESTORATION LLC,2022-08-02 21:49:36.170,CV - Test Project 3.6.20 Prime Contract,0.00,Approved,,1187820
LOYOLA UNIVERSITY CHICAGO,B & A MASONRY RESTORATION LLC,2022-09-15 09:09:25.726,Facade repairs (Capital),0.00,Approved,2020-07-23,1192484
LOYOLA UNIVERSITY CHICAGO,B & A MASONRY RESTORATION LLC,2022-09-15 09:09:25.726,Facade repairs (facilities),244133.00,Approved,2020-07-23,1192484
BRI 1874 20 N CLARK LLC,B & A CONCRETE RESTORATION LLC,2024-03-31 08:36:27.836,"20 N. Clark Slab Repair ",416491.19,Approved,,1193600
LOYOLA UNIVERSITY CHICAGO,B & A MASONRY RESTORATION LLC,2022-08-02 21:50:32.290,Masonry repairs,0.00,Approved,,1194015
B & A CONCRETE RESTORATION LLC,B & A CONCRETE RESTORATION LLC,2021-12-08 18:05:50.470,James Test Project Prime Contract,0.00,Approved,,1195664
,,2022-08-02 21:50:45.616,Magnolia Hotel Prime Contract,0.00,Approved,,1199627
AUTOMATIC LOFTS LLC,B & A CONCRETE RESTORATION LLC,2022-08-02 21:50:56.153,Parking garage repairs,0.00,Approved,,1202676
CITY OF CHICAGO,B & A MASONRY RESTORATION LLC,2022-08-02 21:51:05.873,Limestone cleaning,57281.00,Approved,,1202730
CITY OF CHICAGO,B & A MASONRY RESTORATION LLC,2024-03-31 08:36:41.523,Masonry repairs,1305040.02,Approved,2018-12-11,1203610
UNIVERSITY OF NOTRE DAME,BULLEY & ANDREWS LLC,2024-07-25 08:47:14.930,Raclin Murphy Museum of Art Prime Contract,45433317.14,Approved,,1212733
Owner TEST Company,B & A MASONRY RESTORATION LLC,2022-08-02 21:52:37.560,LM test Prime Contract,0.00,Approved,,1213307
ARMY CORP,,2020-04-08 08:11:38.003,Army Corps of Engineering - Westlake Hospital Prime Contract,0.00,Draft,2020-04-04,1219301
,B & A CONCRETE RESTORATION LLC,2022-08-02 21:53:08.190,D_Stanek_Test Project Prime Contract,0.00,Approved,,1223628
CHURCH STREET STATION CONDOMINIUM ASSOC,B & A MASONRY RESTORATION LLC,2022-09-07 09:11:49.276,Masonry repairs,1861385.02,Approved,2020-06-25,1226044
LOYOLA UNIVERSITY CHICAGO,B & A MASONRY RESTORATION LLC,2023-03-14 00:32:56.336,Room 409 facade and roof repairs,52681.00,Approved,,1228831
SOLDIER FIELD / SMG,B & A CONCRETE RESTORATION LLC,2022-11-23 09:19:45.190,Soldier Field - Parking Garage Maintenance,0.00,Approved,,1228941
,B & A CONCRETE RESTORATION LLC,2022-08-02 21:54:31.090,Soldier Field - Stadium Facade Prime Contract,0.00,Draft,,1229004
SOLDIER FIELD / SMG,B & A CONCRETE RESTORATION LLC,2022-08-02 21:54:31.090,Time & Material,0.00,Approved,,1229004
THE BUILDING GROUP,B & A MASONRY RESTORATION LLC,2022-08-02 21:54:44.060,Masonry repairs,74987.00,Approved,,1229753
THE CHICAGO CLUB,B & A MASONRY RESTORATION LLC,2022-08-02 21:54:52.593,Masonry inspection,0.00,Approved,,1230211
"209 E LAKE SHORE DR CONDOMINIUM CORP",B & A MASONRY RESTORATION LLC,2022-08-02 21:55:01.586,Front leak repairs,27872.19,Approved,,1231449
THE UNIVERSITY OF CHICAGO,BULLEY & ANDREWS LLC,2024-03-31 08:38:01.690,University of Chicago Searle 2nd Floor Renovation Prime Contract,28885.00,Approved,,1232162
BULLEY & ANDREWS LLC,B & A MASONRY RESTORATION LLC,2022-08-02 21:55:16.543,Terra cotta patching,6171.79,Approved,,1233982
"616 FULTON LOFTS CONDOMINIUM ASSOCIATION",B & A MASONRY RESTORATION LLC,2022-08-02 21:55:28.340,Exterior wall repairs,813997.00,Approved,2020-07-30,1234811
"209 E LAKE SHORE DR CONDOMINIUM CORP",B & A MASONRY RESTORATION LLC,2022-08-02 21:55:51.156,Penthouse Masonry repair,78584.13,Approved,,1240785
INTRINSIC SCHOOLS,B & A MASONRY RESTORATION LLC,2022-09-07 09:12:13.403,Masonry Repairs - East Elevation,91142.00,Approved,,1241928
THE MONTAUK CO,B & A MASONRY RESTORATION LLC,2022-08-02 21:56:07.486,Federal elevation fire escape repairs,109500.00,Approved,,1242132
FOREST PRESERVE DIST OF COOK COUNTY,B & A MASONRY RESTORATION LLC,2022-08-02 21:56:36.160,Exterior facade investigation,35673.83,Approved,,1248841
NORTHWESTERN UNIVERSITY,B & A MASONRY RESTORATION LLC,2022-08-02 21:56:44.163,Masonry repairs,1125519.50,Approved,2020-07-01,1248965
"1130 SOUTH MICHIGAN PARTNERSHIP, LLC",B & A CONCRETE RESTORATION LLC,2024-03-31 08:38:11.183," Second Floor, East Entry & Loading Dock",1403958.00,Approved,,1254212
BULLEY & ANDREWS LLC,B & A MASONRY RESTORATION LLC,2022-08-02 21:57:25.003,Mockup,1800.00,Approved,,1254322
Deer Path Inn,B & A MASONRY RESTORATION LLC,2022-08-02 21:57:48.496,Facade inspection,82252.24,Approved,,1257456
STERLING BAY,B & A CONCRETE RESTORATION LLC,2024-03-31 08:38:43.540,Concrete repairs,855669.16,Approved,,1260292
KASS MANAGEMENT,B & A MASONRY RESTORATION LLC,2022-08-02 21:58:45.180,Masonry repairs,145595.00,Approved,2020-05-29,1263893
B & A MASONRY RESTORATION LLC,B & A CONCRETE RESTORATION LLC,2022-08-02 21:58:56.500,Sidewalk Project ,0.00,Approved,,1264908
LSREF4 TURTLE(CORRIDORS) LLC,B & A CONCRETE RESTORATION LLC,2022-08-02 21:59:04.380,Concrete repairs,0.00,Approved,,1265306
FREEPORT RAD I LLC,B & A MASONRY RESTORATION LLC,2022-08-02 21:59:26.473,Masonry repairs,1417206.80,Approved,,1269255
BULLEY & ANDREWS LLC,B & A MASONRY RESTORATION LLC,2023-03-14 00:34:07.693,Masonry Repairs ,5499.67,Approved,,1269547
BULLEY & ANDREWS LLC,B & A MASONRY RESTORATION LLC,2023-03-14 00:34:07.693,Masonry Repairs,2630.81,Approved,,1269547
ROB & ANNE GJERLOW,B & A MASONRY RESTORATION LLC,2022-08-02 22:00:08.596,Entry Repairs,13854.00,Approved,,1271743
ROB & ANNE GJERLOW,B & A MASONRY RESTORATION LLC,2022-08-02 22:00:08.596,Electrical,2313.00,Approved,,1271743
LOYOLA UNIVERSITY CHICAGO,B & A MASONRY RESTORATION LLC,2022-08-02 22:00:31.470,Shoring,6235.00,Approved,,1273211
S & C ELECTRIC CO,B & A CONCRETE RESTORATION LLC,2022-08-02 22:00:57.743,Floor leveling,0.00,Approved,,1278265
"CURTAIN WALL DESIGN & CONSULTING, INC",B & A MASONRY RESTORATION LLC,2022-08-02 22:01:05.266,Masonry Restoration,17500.00,Approved,,1280298
HOWARD ORLOFF IMPORTS INC,B & A MASONRY RESTORATION LLC,2022-08-02 22:01:12.103,Masonry Restoration,6768.46,Approved,,1280319
LOYOLA UNIVERSITY CHICAGO,B & A MASONRY RESTORATION LLC,2022-08-02 22:01:23.866,Exterior facade restoration,6200.00,Approved,,1281329
"199 E LAKE SHORE DR BUILDING CORP",B & A MASONRY RESTORATION LLC,2024-03-31 08:39:09.800,Masonry facade restoration,2899416.96,Approved,,1282764
BTL ARCHITECTS INC,B & A MASONRY RESTORATION LLC,2022-08-02 22:02:16.153,Facade access for inspection,50180.73,Approved,,1284795
SKENDER CONSTRUCTION,B & A MASONRY RESTORATION LLC,2022-08-02 22:02:27.026,Wessman Residence,15772.19,Approved,,1285173
COMMUNITY SPECIALISTS,B & A MASONRY RESTORATION LLC,2022-08-02 22:02:36.060,Terrace repairs,98000.00,Approved,2020-01-13,1286304
MALIBU EAST CONDOMINIUM,B & A MASONRY RESTORATION LLC,2022-08-02 22:02:46.680,Facade repairs,123900.00,Approved,2020-07-09,1287160
